epoch,training_acc,training_loss,L2
1,21.94,1434.41,8449.0
2,35.2,1073.21,11646.0
3,44.89,844.43,15424.0
4,49.05,687.6,19671.0
5,52.54,559.19,24334.0
6,53.44,443.19,29458.0
7,54.85,329.41,34923.0
8,54.79,218.09,40145.0
9,54.75,122.75,44442.0
10,55.32,68.25,47844.0
11,54.91,48.48,51152.0
12,53.68,53.56,55544.0
13,58.45,17.73,55587.0
14,58.8,5.97,55597.0
15,59.01,3.93,55605.0
16,59.07,2.89,55613.0
17,59.4,2.43,55622.0
18,59.24,2.04,55630.0
19,59.34,1.73,55640.0
20,59.51,1.7,55651.0
21,59.39,1.43,55663.0
22,59.51,1.28,55676.0
23,59.53,1.31,55691.0
24,59.64,0.98,55692.0
25,59.64,0.85,55693.0
26,59.53,0.73,55694.0
27,59.56,0.71,55696.0
28,59.58,0.64,55697.0
29,59.55,0.64,55699.0
30,59.58,0.63,55701.0
31,59.59,0.62,55704.0
32,59.49,0.61,55706.0
33,59.52,0.58,55709.0
34,59.48,0.59,55711.0
35,59.49,0.5,55712.0
36,59.49,0.49,55712.0
37,59.49,0.49,55712.0
38,59.51,0.51,55713.0
39,59.53,0.49,55713.0
40,59.55,0.48,55713.0
41,59.5,0.47,55714.0
42,59.5,0.47,55714.0
43,59.51,0.47,55715.0
44,59.53,0.49,55715.0
45,59.52,0.47,55715.0
46,59.53,0.46,55716.0
47,59.53,0.46,55716.0
48,59.54,0.46,55716.0
49,59.54,0.46,55716.0
