epoch,training_acc,training_loss,L2
1,25.96,1369.0,8366.0
2,40.54,989.31,11157.0
3,46.45,782.46,14541.0
4,50.77,638.27,18361.0
5,53.77,515.21,22685.0
6,56.15,400.62,27427.0
7,56.3,291.06,32437.0
8,55.87,188.54,37168.0
9,56.08,112.24,41241.0
10,56.22,64.07,44483.0
11,55.88,55.03,48211.0
12,55.09,55.91,52511.0
13,59.46,17.72,52549.0
14,60.1,5.56,52559.0
15,60.18,3.61,52567.0
16,60.24,2.72,52574.0
17,60.29,2.2,52582.0
18,60.51,1.88,52590.0
19,60.46,1.66,52600.0
20,60.43,1.52,52610.0
21,60.25,1.45,52621.0
22,60.75,1.23,52633.0
23,60.69,1.37,52650.0
24,60.63,1.2,52651.0
25,60.64,0.94,52652.0
26,60.65,0.77,52653.0
27,60.57,0.66,52655.0
28,60.57,0.62,52656.0
29,60.63,0.63,52658.0
30,60.6,0.61,52659.0
31,60.64,0.6,52661.0
32,60.55,0.57,52663.0
33,60.6,0.56,52666.0
34,60.64,0.59,52668.0
35,60.55,0.5,52668.0
36,60.56,0.47,52668.0
37,60.54,0.47,52669.0
38,60.58,0.47,52669.0
39,60.53,0.46,52669.0
40,60.53,0.47,52670.0
41,60.55,0.46,52670.0
42,60.53,0.46,52670.0
43,60.58,0.45,52671.0
44,60.53,0.44,52671.0
45,60.53,0.43,52671.0
46,60.55,0.45,52671.0
47,60.53,0.44,52671.0
48,60.53,0.43,52671.0
49,60.54,0.44,52672.0
